区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,中海紫御公馆 ,91.22平米,南 ,940,103048,房本满五年,简装,中楼层(共19层),2010年建,中海紫御公馆,,-
东城,东营房九条 ,55.65平米,东,470,84457,房本满五年,简装,中楼层(共6层),1990年建,东营房九条,,-
东城,国瑞城中区 ,51.71平米,,525,101528,房本满五年,精装,中楼层(共16层),2006年建,国瑞城中区,,-
东城,中海紫御公馆 ,90.15平米,,865,95952,房本满五年,精装,底层(共19层),2010年建,中海紫御公馆,,-
东城,花市枣苑一期 ,157.51平米,东,1650,104756,房本满五年,精装,中楼层(共18层),2002年建,花市枣苑一期,,-
东城,安外花园 ,59.61平米,南 ,595,99816,房本满五年,精装,中楼层(共5层),1986年建,安外花园,,-
东城,安乐林二条 ,57.84平米,南 ,385,66563,房本满五年,简装,高楼层(共6层),1990年建,安乐林二条,,-
东城,黄寺大街2号院 ,53.72平米,南 ,520,96799,房本满五年,简装,底层(共6层),1990年建,黄寺大街2号院,,-
东城,李村东里 ,38.74平米,,350,90346,房本满五年,简装,底层(共6层),1989年建,李村东里,,-
东城,西青年沟 ,51.88平米,南 ,522,100617,房本满五年,精装,高楼层(共6层),1987年建,西青年沟,,-
东城,建予园 ,83.75平米,,515,61493,房本满五年,简装,中楼层(共16层),2001年建,建予园,,-
东城,安外东河沿 ,55.78平米,,610,109359,房本满五年,简装,顶层(共9层),1985年建,安外东河沿,,-
东城,中海紫御公馆 ,61.66平米,东,590,95687,房本满五年,精装,中楼层(共22层),2010年建,中海紫御公馆,,-
东城,左安浦园 ,114.52平米,南 ,799,69770,房本满五年,简装,中楼层(共16层),2004年建,左安浦园,,-
东城,建国门北大街5号 ,156.82平米,,780,49739,房本满五年,精装,低楼层(共24层),2008年建,建国门北大街5号,,-
东城,西革新里108号院 ,93.09平米,南 ,579,62198,房本满五年,简装,低楼层(共6层),1996年建,西革新里108号院,,-
东城,桃园南街10号院 ,60.45平米,南 ,450,74442,房本满五年,精装,高楼层(共6层),1980年建,桃园南街10号院,,-
东城,金鱼池中区 ,140.78平米,南 ,770,54696,房本满五年,精装,底层(共5层),2002年建,金鱼池中区,,-
东城,和平里五区 ,55.12平米,南 ,650,117925,房本满五年,简装,高楼层(共6层),1996年建,和平里五区,,-
东城,朝阳门南小街 ,63.76平米,,670,105082,房本满五年,简装,中楼层(共16层),2004年建,朝阳门南小街,,-
东城,天天家园 ,66.55平米,西,450,67619,房本满五年,精装,中楼层(共11层),2002年建,天天家园,,-
东城,西革新里112号院 ,70.59平米,,420,59499,房本满五年,简装,中楼层(共19层),2001年建,西革新里112号院,,-
东城,天坛东里南区 ,50.94平米,东,430,84414,房本满五年,精装,低楼层(共12层),1991年建,天坛东里南区,,-
东城,绿景馨园 ,70.36平米,南 ,665,94514,房本满五年,精装,中楼层(共6层),2004年建,绿景馨园,,-
东城,甘水桥 ,74.62平米,东 南 ,690,92469,,精装,中楼层(共14层),1988年建,甘水桥,,-
东城,冠城名敦道 ,76.75平米,,420,54724,,简装,23层,2010年建,冠城名敦道,,-
东城,水上华城 ,81.62平米,,700,85764,,简装,中楼层(共23层),2005年建,水上华城,,-
东城,朝阳门北小街 ,118.79平米,南 ,1150,96810,,简装,顶层(共6层),2003年建,朝阳门北小街,,-
东城,灯市口西街 ,61.37平米,南 ,640,104286,,简装,底层(共6层),1989年建,灯市口西街,,-
东城,革新里24号院 ,65.5平米,东 ,386,58932,,简装,顶层(共6层),1994年建,革新里24号院,,-
东城,东四北大街 ,22.4平米,,380,169643,房本满五年,简装,底层(共1层),2016年建,东四北大街,,-
东城,龙潭北里六条 ,65.75平米,,515,78327,房本满五年,毛坯,顶层(共5层),1965年建,龙潭北里六条,,-
东城,永定门东街西里 ,50.37平米,南 ,400,79413,房本满五年,简装,中楼层(共4层),1976年建,永定门东街西里,,-
东城,新景家园东区 ,91.54平米,西 ,940,102688,房本满五年,精装,低楼层(共18层),2005年建,新景家园东区,,-
东城,建国门北大街5号 ,156.82平米,,770,49101,房本满五年,简装,低楼层(共24层),2008年建,建国门北大街5号,,-
东城,广渠家园 ,85.24平米,东,750,87987,房本满五年,简装,高楼层(共28层),2009年建,广渠家园,,-
东城,和平里七区 ,77.72平米,南 ,790,101647,房本满五年,精装,底层(共5层),1984年建,和平里七区,,-
东城,交道口北二条35号院 ,63.09平米,东 南 ,736,116659,房本满五年,精装,中楼层(共6层),1988年建,交道口北二条35号院,,-
东城,朝阳门北小街 ,63.68平米,东 ,695,109140,房本满五年,精装,高楼层(共6层),2003年建,朝阳门北小街,,-
东城,朝阳门北小街 ,115.04平米,南 ,1070,93012,房本满五年,简装,顶层(共6层),2003年建,朝阳门北小街,,-
东城,富贵园四区 ,130.53平米,南 ,1419,108711,房本满五年,精装,中楼层(共12层),2006年建,富贵园四区,,-
东城,革新南路2号院 ,73.12平米,南 ,470,64278,房本满五年,简装,中楼层(共21层),1980年建,革新南路2号院,,-
东城,建国门北大街 ,57.64平米,东,508,88134,房本满五年,精装,低楼层(共17层),1988年建,建国门北大街,,-
东城,朝阳门内大街 ,44.85平米,南 ,490,109254,房本满五年,精装,中楼层(共6层),1992年建,朝阳门内大街,,-
东城,兴隆都市馨园 ,29.7平米,,360,121213,房本满五年,简装,低楼层(共7层),2004年建,兴隆都市馨园,,-
东城,定安里 ,54.1平米,南 ,375,69317,房本满五年,精装,顶层(共6层),1990年建,定安里,,-
东城,民旺园 ,62.73平米,东 南 ,630,100431,房本满五年,简装,顶层(共6层),1988年建,民旺园,,-
东城,金桥国际 ,75.17平米,,528,70241,房本满五年,简装,高楼层(共27层),2004年建,金桥国际,,-
东城,新景家园东区 ,59.73平米,,595,99615,房本满五年,精装,高楼层(共17层),2004年建,新景家园东区,,-
