区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
朝阳,博雅国际 ,64.28平米,,380,59117,房本满五年,精装,中楼层(共26层),2005年建,博雅国际,,-
朝阳,福怡苑 ,52平米,南 ,285,54808,房本满五年,毛坯,低楼层(共7层),1998年建,福怡苑,,-
朝阳,澳林春天四期 ,157.66平米,南 ,1548,98186,房本满五年,精装,低楼层(共13层),2004年建,澳林春天四期,,-
朝阳,道家园 ,57.71平米,南 ,355,61515,房本满五年,简装,低楼层(共7层),1988年建,道家园,,-
朝阳,CBD传奇 ,37.1平米,,249,67116,房本满五年,精装,底层(共18层),2006年建,CBD传奇,,-
朝阳,柏林爱乐四期 ,102.27平米,南 ,608,59451,房本满五年,精装,中楼层(共8层),2008年建,柏林爱乐四期,,-
朝阳,炫特嘉园一期 ,46.14平米,,300,65020,房本满五年,精装,中楼层(共18层),2004年建,炫特嘉园一期,,-
朝阳,武圣东里 ,59.17平米,南 ,348,58814,房本满五年,简装,中楼层(共6层),1983年建,武圣东里,,-
朝阳,磨房北里 ,63.11平米,东,341,54033,房本满五年,精装,中楼层(共6层),1992年建,磨房北里,,-
朝阳,团结湖中路南一条 ,62.23平米,南 ,435,69902,房本满五年,简装,低楼层(共6层),1980年建,团结湖中路南一条,,-
朝阳,望京西园三区 ,133.76平米,南 ,820,61304,房本满五年,简装,14层,2001年建,望京西园三区,,-
朝阳,北苑家园茉藜园 ,106.14平米,西南 ,540,50877,房本满五年,精装,中楼层(共26层),2005年建,北苑家园茉藜园,,-
朝阳,安慧里一区 ,64.59平米,西,480,74315,房本满五年,简装,低楼层(共25层),1991年建,安慧里一区,,-
朝阳,劲松四区 ,39.32平米,,268,68159,房本满五年,简装,中楼层(共6层),1978年建,劲松四区,,-
朝阳,安华西里社区 ,37.98平米,,360,94787,房本满五年,简装,高楼层(共21层),1990年建,安华西里社区,,-
朝阳,住欣家园 ,87.47平米,南 ,370,42301,房本满五年,精装,高楼层(共28层),2010年建,住欣家园,,-
朝阳,慧忠北里第四社区 ,83.59平米,西,535,64003,房本满五年,精装,中楼层(共25层),2000年建,慧忠北里第四社区,,-
朝阳,光熙门北里 ,61.87平米,西,465,75158,房本满五年,简装,高楼层(共21层),1990年建,光熙门北里,,-
朝阳,安苑北里 ,69.63平米,东,510,73245,房本满五年,简装,高楼层(共25层),1989年建,安苑北里,,-
朝阳,金都杭城东区 ,88.91平米,,720,80981,房本满五年,精装,高楼层(共26层),2009年建,金都杭城东区,,-
朝阳,酒仙桥三街坊 ,77.34平米,,398,51462,房本满五年,精装,中楼层(共6层),1991年建,酒仙桥三街坊,,-
朝阳,弘善家园 ,81.45平米,西,375,46041,房本满五年,简装,中楼层(共28层),2009年建,弘善家园,,-
朝阳,劲松七区 ,59.8平米,南 ,340,56857,房本满五年,精装,顶层(共6层),1983年建,劲松七区,,-
朝阳,新源西里中街 ,66.8平米,南 ,448,67066,房本满五年,简装,底层(共5层),1982年建,新源西里中街,,-
朝阳,定福家园2号院 ,101.86平米,南 ,465,45651,房本满五年,简装,高楼层(共16层),2006年建,定福家园2号院,,-
朝阳,苹果社区南区 ,95.9平米,西,688,71742,,精装,低楼层(共27层),2005年建,苹果社区南区,,-
朝阳,首开常青藤三期 ,154.36平米,南 ,898,58176,,精装,底层(共6层),2013年建,首开常青藤三期,,-
朝阳,华腾园 ,130.6平米,西南 ,745,57045,,精装,中楼层(共28层),2001年建,华腾园,,-
朝阳,兴隆家园 ,118.82平米,南 ,466,39219,,精装,顶层(共6层),2000年建,兴隆家园,,-
朝阳,甘露园南里 ,120.35平米,南 ,565,46947,,简装,低楼层(共22层),2001年建,甘露园南里,,-
朝阳,柳芳北街9号院 ,52.62平米,西,334,63474,房本满五年,简装,高楼层(共6层),1991年建,柳芳北街9号院,,-
朝阳,安苑北里 ,70.26平米,东 南 ,535,76146,房本满五年,简装,中楼层(共18层),1987年建,安苑北里,,-
朝阳,奥林匹克花园一期 ,139.95平米,南 ,935,66810,房本满五年,精装,底层(共5层),2003年建,奥林匹克花园一期,,-
朝阳,武圣西里 ,47.57平米,南 ,305,64117,房本满五年,简装,中楼层(共5层),1980年建,武圣西里,,-
朝阳,UHN国际村 ,134.5平米,,965,71748,房本满五年,精装,高楼层(共28层),2005年建,UHN国际村,,-
朝阳,北苑家园茉藜园 ,127.35平米,西,618,48528,房本满五年,简装,中楼层(共26层),2005年建,北苑家园茉藜园,,-
朝阳,北沙滩8号院 ,82.17平米,,460,55982,房本满五年,简装,低楼层(共18层),1999年建,北沙滩8号院,,-
朝阳,世方豪庭 ,174.85平米,南 ,1000,57192,房本满五年,简装,低楼层(共22层),2000年建,世方豪庭,,-
朝阳,建业苑 ,136.17平米,西,728,53463,房本满五年,精装,高楼层(共19层),2001年建,建业苑,,-
朝阳,富力城A区 ,121.59平米,,1200,98693,房本满五年,简装,高楼层(共26层),2004年建,富力城A区,,-
朝阳,新城国际 ,171.42平米,东南 西,1850,107923,房本满五年,精装,低楼层(共33层),2005年建,新城国际,,-
朝阳,美景东方 ,105.79平米,东,675,63806,房本满五年,精装,25层,2005年建,美景东方,,-
朝阳,梵谷水郡 ,125.8平米,南 ,698,55485,房本满五年,精装,中楼层(共9层),2006年建,梵谷水郡,,-
朝阳,康家园 ,65.6平米,南 ,355,54116,房本满五年,简装,中楼层(共6层),1997年建,康家园,,-
朝阳,亮马嘉园 ,158.07平米,西,760,48080,房本满五年,精装,高楼层(共17层),2003年建,亮马嘉园,,-
朝阳,水郡长安 ,150.12平米,南 ,648,43166,房本满五年,精装,中楼层(共19层),2008年建,水郡长安,,-
朝阳,安贞西里 ,69.22平米,,465,67178,房本满五年,简装,顶层(共16层),1986年建,安贞西里,,-
朝阳,世华泊郡 ,131.11平米,南 ,950,72459,房本满五年,精装,中楼层(共27层),2012年建,世华泊郡,,-
朝阳,大成国际 ,42.72平米,,340,79589,房本满五年,精装,低楼层(共11层),2007年建,大成国际,,-
朝阳,北苑家园绣菊园 ,129.49平米,南 ,590,45564,房本满五年,简装,中楼层(共14层),2001年建,北苑家园绣菊园,,-
朝阳,双惠小区 ,98.49平米,南 ,485,49244,房本满五年,精装,中楼层(共6层),2003年建,双惠小区,,-
朝阳,富力又一城C区 ,90.33平米,,490,54246,房本满五年,精装,低楼层(共18层),2009年建,富力又一城C区,,-
朝阳,珠江绿洲 ,99.38平米,,469,47193,房本满五年,精装,低楼层(共31层),2004年建,珠江绿洲,,-
朝阳,中海城香克林 ,99.88平米,南 ,718,71887,房本满五年,精装,低楼层(共10层),2012年建,中海城香克林,,-
朝阳,惠新苑 ,144.04平米,南 ,1049,72827,,精装,高楼层(共12层),1999年建,惠新苑,,-
朝阳,翌景嘉园 ,145.99平米,东,620,42469,,简装,高楼层(共28层),2002年建,翌景嘉园,,-
朝阳,柏林爱乐二期 ,139.93平米,南 ,818,58458,,简装,顶层(共9层),2004年建,柏林爱乐二期,,-
朝阳,望京新城 ,132.69平米,西,710,53509,,简装,低楼层(共30层),1998年建,望京新城,,-
朝阳,万科星园 ,137.32平米,南 ,1070,77921,,简装,高楼层(共27层),2000年建,万科星园,,-
朝阳,阳光上东 ,219.4平米,南 ,1490,67913,,精装,低楼层(共30层),2004年建,阳光上东,,-
朝阳,金蝉南里 ,65.45平米,,360,55004,房本满五年,精装,顶层(共14层),2005年建,金蝉南里,,-
朝阳,安慧里二区 ,66.2平米,东,507,76587,房本满五年,精装,低楼层(共25层),1990年建,安慧里二区,,-
朝阳,富力又一城C区 ,88.96平米,南 ,455,51147,房本满五年,精装,低楼层(共18层),2009年建,富力又一城C区,,-
朝阳,沿海赛洛城二期 ,94.07平米,南 西 ,628,66759,房本满五年,精装,中楼层(共6层),2007年建,沿海赛洛城二期,,-
朝阳,东大桥东里 ,59.32平米,东 ,420,70803,房本满五年,简装,低楼层(共6层),1992年建,东大桥东里,,-
朝阳,京通苑 ,109.63平米,东,435,39679,房本满五年,简装,高楼层(共18层),1998年建,京通苑,,-
朝阳,海华堂 ,130.34平米,南 ,699,53629,房本满五年,精装,顶层(共33层),2011年建,海华堂,,-
朝阳,管庄北二里 ,84.64平米,西 南 ,405,47850,房本满五年,精装,底层(共28层),2013年建,管庄北二里,,-
朝阳,首开常青藤二期 ,91.22平米,南 ,626,68626,房本满五年,精装,中楼层(共6层),2011年建,首开常青藤二期,,-
朝阳,紫薇天悦 ,181.35平米,南 ,1430,78854,房本满五年,毛坯,高楼层(共8层),2009年建,紫薇天悦,,-
朝阳,北辰福第一号院 ,87.5平米,南 东 ,389,44458,房本满五年,精装,顶层(共27层),2008年建,北辰福第一号院,,-
朝阳,东景苑 ,84.69平米,,468,55261,房本满五年,简装,中楼层(共21层),2002年建,东景苑,,-
朝阳,左家庄北里 ,132.31平米,南 ,660,49883,房本满五年,精装,顶层(共6层),1993年建,左家庄北里,,-
朝阳,五建小区 ,62.41平米,南 ,330,52877,房本满五年,精装,低楼层(共6层),1983年建,五建小区,,-
朝阳,金蝉北里 ,80.37平米,南 ,398,49521,房本满五年,精装,低楼层(共6层),1999年建,金蝉北里,,-
朝阳,美景东方 ,92.36平米,,620,67129,房本满五年,精装,17层,2007年建,美景东方,,-
朝阳,中海安德鲁斯庄园 ,227.84平米,南 ,1100,48280,房本满五年,精装,4层,2005年建,中海安德鲁斯庄园,,-
朝阳,奥林匹克花园四期 ,219.19平米,南 ,1200,54748,房本满五年,精装,高楼层(共10层),2009年建,奥林匹克花园四期,,-
朝阳,千鹤家园 ,296.05平米,西,1396,47155,房本满五年,简装,25层,2002年建,千鹤家园,,-
朝阳,宝星园一区 ,121.82平米,东,778,63865,房本满五年,精装,低楼层(共25层),2003年建,宝星园一区,,-
朝阳,翠成馨园C区 ,140.01平米,南 ,616,43997,房本满五年,精装,中楼层(共14层),2009年建,翠成馨园C区,,-
朝阳,融科橄榄城一期 ,132.11平米,南 ,1200,90834,房本满五年,精装,低楼层(共28层),2006年建,融科橄榄城一期,,-
朝阳,泰达时代 ,138.49平米,,682,49246,,精装,顶层(共26层),2008年建,泰达时代,,-
朝阳,昆泰国际公寓 ,150.46平米,西,910,60482,,毛坯,低楼层(共24层),2005年建,昆泰国际公寓,,-
