区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
通州,润枫领尚 ,88.19平米,南 ,340,38554,房本满五年,毛坯,低楼层(共18层),2013年建,润枫领尚,,-
通州,日光清城 ,108.54平米,南 ,460,42381,房本满五年,精装,中楼层(共11层),2004年建,日光清城,,-
通州,梨园小镇 ,95.72平米,,425,44401,房本满五年,精装,底层(共15层),2005年建,梨园小镇,,-
通州,东潞苑 ,87.97平米,南 ,292,33194,房本满五年,精装,高楼层(共6层),1996年建,东潞苑,,-
通州,世纪星城三期 ,100.93平米,,430,42604,房本满五年,精装,低楼层(共31层),2009年建,世纪星城三期,,-
通州,中建雅颂居 ,89.24平米,南 ,330,36979,房本满五年,简装,中楼层(共22层),2012年建,中建雅颂居,,-
通州,西马庄园 ,78.29平米,东 ,263,33594,房本满五年,简装,中楼层(共6层),1999年建,西马庄园,,-
通州,金隅通和园 ,84.28平米,,339,40224,房本满五年,简装,高楼层(共29层),2011年建,金隅通和园,,-
通州,BOBO自由城 ,102.48平米,南 ,560,54645,房本满五年,简装,中楼层(共10层),2005年建,BOBO自由城,,-
通州,新华联家园北区 ,139.04平米,南 ,565,40636,房本满五年,简装,低楼层(共12层),2004年建,新华联家园北区,,-
通州,华远铭悦园 ,58.86平米,,268,45532,房本满五年,简装,中楼层(共28层),2014年建,华远铭悦园,,-
通州,DBC加州小镇C区 ,88.99平米,南 ,399,44837,房本满五年,简装,高楼层(共15层),2010年建,DBC加州小镇C区,,-
通州,K2玉蘭湾 ,186.99平米,南 ,1010,54014,房本满五年,精装,高楼层(共27层),2015年建,K2玉蘭湾,,-
通州,华远铭悦园 ,71.6平米,,309,43157,房本满五年,精装,中楼层(共27层),2012年建,华远铭悦园,,-
通州,时尚街区东区 ,96.91平米,东,420,43340,房本满五年,精装,高楼层(共20层),2003年建,时尚街区东区,,-
通州,龙鼎园 ,62.89平米,,256,40706,房本满五年,精装,中楼层(共11层),2005年建,龙鼎园,,-
通州,杨庄北街4号院 ,60.25平米,南 ,251,41660,房本满五年,精装,低楼层(共6层),1987年建,杨庄北街4号院,,-
通州,DBC加州小镇 ,75.07平米,南 ,329,43826,房本满五年,简装,顶层(共6层),2007年建,DBC加州小镇,,-
通州,北苑甲55号院 ,43.45平米,,198,45570,房本满五年,毛坯,顶层(共6层),1987年建,北苑甲55号院,,-
通州,水仙园 ,84.67平米,南 ,402,47479,房本满五年,简装,中楼层(共6层),1999年建,水仙园,,-
通州,首开香溪郡 ,97.06平米,南 ,332,34206,房本满五年,毛坯,低楼层(共7层),2015年建,首开香溪郡,,-
通州,天时名苑 ,127.6平米,南 ,410,32132,房本满五年,简装,28层,2007年建,天时名苑,,-
通州,大方居 ,64.44平米,西,238,36934,房本满五年,精装,中楼层(共22层),2008年建,大方居,,-
通州,长城国际 ,57.29平米,,250,43638,,精装,22层,2009年建,长城国际,,-
通州,金成府 ,231.29平米,南 ,1070,46263,,精装,低楼层(共31层),2013年建,金成府,,-
通州,中建雅颂居 ,83.18平米,西,285,34264,,精装,中楼层(共22层),2012年建,中建雅颂居,,-
通州,西潞苑小区 ,86平米,南 ,295,34303,,简装,顶层(共6层),1995年建,西潞苑小区,,-
通州,日光清城 ,103.73平米,南 ,449,43286,,精装,中楼层(共7层),2003年建,日光清城,,-
通州,华远铭悦园 ,58.86平米,,265,45023,,精装,低楼层(共28层),2014年建,华远铭悦园,,-
通州,天赐良园二期 ,125.35平米,南 ,505,40288,,简装,低楼层(共7层),2003年建,天赐良园二期,,-
通州,华业东方玫瑰B区 ,54.9平米,,296,53917,房本满五年,精装,低楼层(共22层),2013年建,华业东方玫瑰B区,,-
通州,西营前街 ,57.83平米,南 ,235,40637,房本满五年,简装,低楼层(共6层),1987年建,西营前街,,-
通州,时尚街区东区 ,100.34平米,西,425,42356,房本满五年,精装,高楼层(共19层),2007年建,时尚街区东区,,-
通州,久居雅园 ,50.2平米,,212,42232,房本满五年,简装,中楼层(共12层),2008年建,久居雅园,,-
通州,古韵新居 ,49.91平米,,238,47686,房本满五年,简装,中楼层(共11层),2010年建,古韵新居,,-
通州,DBC加州小镇 ,42.55平米,,220,51704,房本满五年,其他,低楼层(共11层),2005年建,DBC加州小镇,,-
通州,长城国际 ,44.04平米,,215,48820,房本满五年,精装,22层,2009年建,长城国际,,-
通州,长城国际 ,44.04平米,,215,48820,房本满五年,精装,22层,2009年建,长城国际,,-
通州,长城国际 ,52.47平米,,235,44788,房本满五年,精装,22层,2009年建,长城国际,,-
通州,世图印刷厂家属院 ,71.38平米,南 ,305,42730,房本满五年,精装,中楼层(共6层),1998年建,世图印刷厂家属院,,-
通州,华业东方玫瑰A区 ,62.88平米,西,298,47392,房本满五年,精装,低楼层(共27层),2012年建,华业东方玫瑰A区,,-
通州,中国铁建通瑞嘉苑 ,65.6平米,,279,42531,房本满五年,简装,高楼层(共28层),2016年建,中国铁建通瑞嘉苑,,-
通州,时尚街区东区 ,74.52平米,,303.8,40768,房本满五年,精装,中楼层(共19层),2007年建,时尚街区东区,,-
通州,新城乐居 ,79.29平米,南 ,325,40989,房本满五年,精装,中楼层(共26层),2012年建,新城乐居,,-
通州,潞潮佳苑 ,84.06平米,南 ,305,36284,房本满五年,简装,高楼层(共6层),2003年建,潞潮佳苑,,-
通州,美然百度城 ,43.85平米,,229,52224,房本满五年,精装,底层(共5层),2002年建,美然百度城,,-
通州,铁路宿舍 ,58.53平米,南 ,220,37588,房本满五年,简装,底层(共4层),1984年建,铁路宿舍,,-
通州,映翠居 ,91.63平米,南 ,359,39180,房本满五年,精装,中楼层(共6层),2003年建,映翠居,,-
通州,碧水明珠 ,69.24平米,,275,39717,房本满五年,简装,低楼层(共23层),2004年建,碧水明珠,,-
通州,珠江拉维小镇 ,97.16平米,,407,41890,房本满五年,精装,中楼层(共10层),2010年建,珠江拉维小镇,,-
通州,翠福园 ,68.03平米,南 ,263,38660,房本满五年,简装,低楼层(共6层),2006年建,翠福园,,-
通州,11站 ,62.04平米,南 ,274,44166,房本满五年,精装,高楼层(共13层),2005年建,11站,,-
通州,万方家园 ,91.51平米,南 ,529,57808,,精装,低楼层(共18层),2013年建,万方家园,,-
通州,华龙小区 ,79.09平米,南 ,289,36541,,简装,低楼层(共6层),1998年建,华龙小区,,-
通州,碧水明珠 ,97.58平米,,369,37816,,简装,高楼层(共23层),2004年建,碧水明珠,,-
通州,云景西里南区 ,46.01平米,,208,45208,,精装,中楼层(共6层),1995年建,云景西里南区,,-
通州,华业东方玫瑰A区 ,90.65平米,东,435,47987,,精装,中楼层(共25层),2012年建,华业东方玫瑰A区,,-
通州,新潮嘉园三期 ,103.36平米,南 ,388,37539,,精装,中楼层(共6层),2007年建,新潮嘉园三期,,-
通州,葛布店北里 ,50.61平米,南 ,225,44458,,简装,高楼层(共6层),1993年建,葛布店北里,,-
通州,新城阳光 ,84.14平米,南 ,372,44213,,精装,中楼层(共14层),2006年建,新城阳光,,-
通州,冷冻机械厂宿舍 ,56.93平米,南 ,221,38820,房本满五年,精装,中楼层(共5层),1988年建,冷冻机械厂宿舍,,-
通州,天赐良园西三期 ,100.36平米,南 ,430,42846,房本满五年,精装,高楼层(共6层),2003年建,天赐良园西三期,,-
通州,碧水明珠 ,95平米,东,340,35790,房本满五年,精装,低楼层(共23层),2004年建,碧水明珠,,-
通州,怡乐北街 ,67.76平米,南 ,296,43684,房本满五年,精装,中楼层(共6层),1998年建,怡乐北街,,-
通州,运河居 ,60.79平米,南 ,255,41948,房本满五年,简装,顶层(共6层),2005年建,运河居,,-
通州,北机家属院 ,68.74平米,南 ,238,34624,房本满五年,简装,中楼层(共4层),1961年建,北机家属院,,-
通州,水仙园 ,83.97平米,南 ,395,47041,房本满五年,精装,中楼层(共6层),2000年建,水仙园,,-
通州,巴克摩界 ,86.94平米,西,350,40258,房本满五年,精装,中楼层(共11层),2007年建,巴克摩界,,-
通州,华远铭悦园 ,71.6平米,,316,44135,房本满五年,精装,低楼层(共27层),2012年建,华远铭悦园,,-
通州,新通国际花园 ,95.52平米,东 ,415,43447,房本满五年,精装,高楼层(共18层),2010年建,新通国际花园,,-
通州,怡然世家 ,55.24平米,,205,37111,房本满五年,精装,低楼层(共28层),2013年建,怡然世家,,-
通州,怡乐北街 ,85.63平米,南 ,360,42042,房本满五年,简装,低楼层(共6层),2001年建,怡乐北街,,-
通州,金地格林格林 ,75.54平米,,290,38391,房本满五年,精装,中楼层(共18层),2013年建,金地格林格林,,-
通州,金隅七零九零 ,72.22平米,,305,42233,房本满五年,精装,中楼层(共15层),2009年建,金隅七零九零,,-
通州,怡然世家 ,71.62平米,南 ,275,38398,房本满五年,精装,低楼层(共28层),暂无数据,怡然世家,,-
通州,大方居 ,87.94平米,西,269,30590,房本满五年,精装,中楼层(共22层),2008年建,大方居,,-
通州,金隅七零九零 ,71.17平米,南 ,312,43839,房本满五年,精装,低楼层(共15层),2008年建,金隅七零九零,,-
通州,金隅七零九零 ,70.74平米,,305,43116,房本满五年,精装,中楼层(共15层),2009年建,金隅七零九零,,-
通州,干休所家属院 ,53.49平米,东 ,235,43934,房本满五年,精装,低楼层(共6层),1985年建,干休所家属院,,-
通州,华远铭悦园 ,75.24平米,南 ,305,40537,房本满五年,精装,低楼层(共24层),2012年建,华远铭悦园,,-
通州,久居雅园 ,67.26平米,,299,44455,房本满五年,精装,中楼层(共12层),2008年建,久居雅园,,-
通州,财富东方 ,72.11平米,,290,40217,房本满五年,简装,低楼层(共26层),2007年建,财富东方,,-
通州,大方居 ,89.51平米,南 ,330,36868,房本满五年,精装,中楼层(共22层),2008年建,大方居,,-
通州,财富东方 ,105.92平米,,420,39653,房本满五年,简装,顶层(共13层),2007年建,财富东方,,-
通州,方恒东景 ,73.27平米,,309,42173,,精装,中楼层(共26层),2012年建,方恒东景,,-
通州,葵花社 ,90.29平米,南 ,450,49840,,简装,中楼层(共11层),2006年建,葵花社,,-
通州,梨花园 ,75.46平米,北 ,310,41082,,简装,底层(共7层),1997年建,梨花园,,-
通州,月季园 ,89.58平米,,420,46886,,精装,高楼层(共18层),2009年建,月季园,,-
通州,北苑南路34号院 ,58.05平米,南 ,244,42033,,简装,低楼层(共6层),1980年建,北苑南路34号院,,-
通州,通景园 ,89.4平米,东,325,36354,,精装,高楼层(共27层),2010年建,通景园,,-
通州,桃花岛 ,82.72平米,南 ,417,50412,房本满五年,简装,底层(共6层),2007年建,桃花岛,,-
通州,华远铭悦园 ,58.01平米,,248,42752,房本满五年,精装,低楼层(共27层),2012年建,华远铭悦园,,-
通州,新华联家园北区 ,46.16平米,,208,45061,房本满五年,简装,中楼层(共12层),2004年建,新华联家园北区,,-
通州,大方居 ,91.68平米,,360,39268,房本满五年,简装,低楼层(共15层),2008年建,大方居,,-
通州,通景园 ,89.26平米,东,338,37867,房本满五年,精装,低楼层(共27层),2010年建,通景园,,-
通州,西马庄园 ,62平米,南 ,203,32742,房本满五年,简装,低楼层(共6层),2001年建,西马庄园,,-
通州,首开香溪郡 ,162.95平米,南 ,548,33630,房本满五年,精装,底层(共8层),2015年建,首开香溪郡,,-
通州,中山大街108号院 ,62.9平米,南 ,263,41813,房本满五年,简装,高楼层(共6层),1988年建,中山大街108号院,,-
通州,朝通嘉园 ,114.34平米,南 ,395,34547,房本满五年,精装,中楼层(共6层),2003年建,朝通嘉园,,-
通州,西马庄园 ,88.69平米,东南 西,305,34390,房本满五年,简装,低楼层(共6层),1999年建,西马庄园,,-
通州,通惠小区 ,74.77平米,南 ,299,39990,房本满五年,简装,中楼层(共6层),1994年建,通惠小区,,-
通州,首开缇香郡 ,69.06平米,南 ,207,29974,房本满五年,精装,低楼层(共16层),2015年建,首开缇香郡,,-
通州,润枫领尚 ,88.19平米,南 ,376,42636,房本满五年,精装,中楼层(共11层),2013年建,润枫领尚,,-
